Financing scheme,Function,Measure,LOCATION,Country,Year,Value
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2006,8.557
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2007,8.354
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2008,8.344
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2009,8.775
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2010,8.362
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2011,8.203
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2012,8.181
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2013,8.176
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2014,8.229
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2015,8.07
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2016,8.097
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2017,8.261
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2018,8.378
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2019,8.58
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2020,9.615
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2021,9.734
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISL,Iceland,2022,8.572
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2000,7.243
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2001,7.988
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2002,8.234
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2003,8.449
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2004,8.094
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2005,8.565
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2006,8.259
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2007,8.398
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2008,8.828
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2009,9.407
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2010,9.597
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2011,9.193
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2012,8.924
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2013,8.438
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2014,7.891
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2015,8.22
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2016,8.449
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2017,8.135
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2018,8.12
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2019,8.198
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2020,9.504
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2021,9.173
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GRC,Greece,2022,8.588
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2000,5.899
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2001,6.392
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2002,6.673
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2003,7.008
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2004,7.22
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2005,7.642
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2006,7.516
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2007,7.808
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2008,9.126
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2009,10.523
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2010,10.524
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2011,10.606
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2012,10.598
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2013,10.277
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2014,9.513
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2015,7.336
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2016,7.469
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2017,7.125
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2018,6.876
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2019,6.709
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2020,7.109
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2021,6.717
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,IRL,Ireland,2022,6.071
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2000,9.584
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2001,9.706
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2002,10.022
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2003,10.083
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2004,10.164
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2005,10.215
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2006,10.386
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2007,10.316
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2008,10.501
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2009,11.288
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2010,11.226
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2011,11.185
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2012,11.297
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2013,11.396
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2014,11.539
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2015,11.448
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2016,11.471
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2017,11.355
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2018,11.208
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2019,11.089
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2020,12.131
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2021,12.308
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,FRA,France,2022,12.102
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2000,6.778
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2001,6.826
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2002,7.121
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2003,8.121
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2004,7.758
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2005,7.985
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2006,7.778
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2007,7.204
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2008,7.088
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2009,7.222
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2010,7.449
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2011,7.481
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2012,7.411
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2013,7.234
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2014,7.047
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2015,6.854
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2016,6.988
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2017,6.744
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2018,6.58
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2019,6.282
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2020,7.288
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2021,7.376
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,HUN,Hungary,2022,6.739
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2000,7.093
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2001,7.413
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2002,7.821
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2003,7.988
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2004,8.253
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2005,8.315
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2006,8.475
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2007,8.67
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2008,8.968
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2009,9.77
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2010,9.705
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2011,9.724
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2012,9.814
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2013,9.873
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2014,9.862
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2015,9.798
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2016,9.729
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2017,9.596
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2018,9.731
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2019,9.958
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2020,12.159
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2021,12.365
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,GBR,United Kingdom,2022,11.345
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2000,7.567
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2001,7.738
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2002,7.867
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2003,7.833
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2004,8.165
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2005,8.339
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2006,8.437
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2007,8.136
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2008,8.533
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2009,8.952
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2010,8.916
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2011,8.774
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2012,8.784
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2013,8.775
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2014,8.868
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2015,8.857
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2016,8.725
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2017,8.678
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2018,8.682
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2019,8.656
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2020,9.625
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2021,9.384
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ITA,Italy,2022,9.002
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2000,6.617
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2001,7.018
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2002,6.923
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2003,6.855
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2004,6.801
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2005,6.903
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2006,6.71
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2007,6.695
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2008,6.828
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2009,6.916
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2010,6.888
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2011,6.839
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2012,6.976
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2013,6.958
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2014,7.045
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2015,7.022
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2016,7.096
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2017,7.176
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2018,7.228
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2019,7.174
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2020,7.707
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2021,7.905
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,ISR,Israel,2022,7.427
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2000,6.2
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2001,6.013
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2002,6.144
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2003,6.186
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2004,5.511
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2005,5.648
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2006,5.844
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2007,5.764
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2008,6.294
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2009,7.366
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2010,6.815
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2011,6.488
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2012,6.276
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2013,6.126
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2014,6.193
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2015,6.49
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2016,6.638
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2017,6.464
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2018,6.53
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2019,6.991
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2020,7.481
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2021,7.823
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LTU,Lithuania,2022,7.462
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2000,7.707
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2001,8.059
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2002,8.649
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2003,9.057
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2004,9.111
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2005,9.097
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2006,9.081
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2007,9.053
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2008,9.277
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2009,9.993
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2010,10.155
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2011,10.234
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2012,10.539
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2013,10.584
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2014,10.567
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2015,10.324
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2016,10.294
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2017,10.108
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2018,10.02
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2019,10.14
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2020,11.209
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2021,11.294
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,NLD,Netherlands,2022,10.203
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2000,5.433
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2001,5.77
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2002,5.763
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2003,5.479
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2004,6.202
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2005,5.832
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2006,5.704
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2007,5.512
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2008,5.585
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2009,6.098
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2010,6.097
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2011,5.724
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2012,5.41
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2013,5.409
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2014,5.463
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2015,5.652
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2016,6.133
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2017,5.965
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2018,6.189
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2019,6.614
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2020,7.241
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2021,9.045
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LVA,Latvia,2022,8.843
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2000,5.288
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2001,5.667
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2002,6.067
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2003,5.954
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2004,5.868
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2005,5.807
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2006,5.803
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2007,5.873
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2008,6.376
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2009,6.588
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2010,6.468
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2011,6.287
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2012,6.265
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2013,6.48
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2014,6.319
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2015,6.404
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2016,6.571
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2017,6.583
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2018,6.313
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2019,6.46
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2020,6.497
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2021,6.439
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,POL,Poland,2022,6.678
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2000,5.925
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2001,6.381
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2002,6.76
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2003,6.961
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2004,7.28
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2005,7.125
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2006,6.638
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2007,6.158
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2008,6.231
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2009,6.95
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2010,6.662
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2011,5.952
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2012,5.294
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2013,5.236
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2014,5.23
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2015,5.081
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2016,5.071
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2017,5.135
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2018,5.28
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2019,5.47
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2020,5.742
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2021,5.668
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,LUX,Luxembourg,2022,5.456
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,MEX,Mexico,2000,4.449
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,MEX,Mexico,2001,4.82
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,MEX,Mexico,2002,5.072
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,MEX,Mexico,2003,5.815
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,MEX,Mexico,2004,5.954
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,MEX,Mexico,2005,5.836
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,MEX,Mexico,2006,5.655
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,MEX,Mexico,2007,5.766
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,MEX,Mexico,2008,5.699
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,MEX,Mexico,2009,6.13
All financing schemes,Current expenditure on health (all functions),Share of gross domestic product,MEX,Mexico,2010,5.737
